1, 1000, 0
2, 1000, 8
3, 1000, 15
4, 1000, 7
5, 1000, 4
1, 1000, 0
2, 1000, 7
3, 1000, 14
4, 1000, 7
5, 1000, 3
1, 1000, 0
2, 1000, 7
3, 1000, 15
4, 1000, 7
5, 1000, 4
1, 2000, 0
2, 2000, 34
3, 2000, 63
4, 2000, 31
5, 2000, 17
1, 2000, 0
2, 2000, 33
3, 2000, 65
4, 2000, 33
5, 2000, 18
1, 2000, 0
2, 2000, 32
3, 2000, 67
4, 2000, 33
5, 2000, 18
1, 4000, 0
2, 4000, 132
3, 4000, 342
4, 4000, 162
5, 4000, 85
1, 4000, 1
2, 4000, 128
3, 4000, 346
4, 4000, 163
5, 4000, 86
1, 4000, 0
2, 4000, 129
3, 4000, 338
4, 4000, 161
5, 4000, 85
1, 6000, 1
2, 6000, 294
3, 6000, 807
4, 6000, 412
5, 6000, 213
1, 6000, 1
2, 6000, 288
3, 6000, 807
4, 6000, 410
5, 6000, 214
1, 6000, 1
2, 6000, 292
3, 6000, 806
4, 6000, 412
5, 6000, 212
1, 8000, 1
2, 8000, 519
3, 8000, 1449
4, 8000, 762
5, 8000, 401
1, 8000, 1
2, 8000, 512
3, 8000, 1436
4, 8000, 757
5, 8000, 394
1, 8000, 1
2, 8000, 520
3, 8000, 1450
4, 8000, 765
5, 8000, 399
1, 10000, 2
2, 10000, 815
3, 10000, 2347
4, 10000, 1263
5, 10000, 665
1, 10000, 1
2, 10000, 813
3, 10000, 2367
4, 10000, 1277
5, 10000, 667
1, 10000, 1
2, 10000, 815
3, 10000, 2343
4, 10000, 1261
5, 10000, 674
1, 12000, 1
2, 12000, 1164
3, 12000, 3360
4, 12000, 1788
5, 12000, 977
1, 12000, 1
2, 12000, 1168
3, 12000, 3518
4, 12000, 1801
5, 12000, 993
1, 12000, 1
2, 12000, 1174
3, 12000, 3790
4, 12000, 1959
5, 12000, 995
1, 14000, 2
2, 14000, 1591
3, 14000, 5077
4, 14000, 2607
5, 14000, 1414
1, 14000, 2
2, 14000, 1594
3, 14000, 6097
4, 14000, 2914
5, 14000, 1453
1, 14000, 3
2, 14000, 1588
3, 14000, 4972
4, 14000, 2585
5, 14000, 1437
1, 16000, 2
2, 16000, 2122
3, 16000, 6637
4, 16000, 3414
5, 16000, 1802
1, 16000, 1
2, 16000, 2111
3, 16000, 6584
4, 16000, 3408
5, 16000, 1782
1, 16000, 5
2, 16000, 2096
3, 16000, 6729
4, 16000, 3537
5, 16000, 1967
1, 18000, 2
2, 18000, 2719
3, 18000, 8749
4, 18000, 4528
5, 18000, 2362
1, 18000, 4
2, 18000, 2714
3, 18000, 8608
4, 18000, 4488
5, 18000, 2350
1, 18000, 2
2, 18000, 2731
3, 18000, 8830
4, 18000, 4576
5, 18000, 2365
1, 20000, 4
2, 20000, 3402
3, 20000, 11539
4, 20000, 6163
5, 20000, 3166
1, 20000, 3
2, 20000, 3387
3, 20000, 11072
4, 20000, 5783
5, 20000, 2986
1, 20000, 2
2, 20000, 3567
3, 20000, 12243
4, 20000, 6348
5, 20000, 3228
