1, 1000, 0
2, 1000, 8
3, 1000, 15
4, 1000, 7
5, 1000, 4
1, 1000, 0
2, 1000, 7
3, 1000, 15
4, 1000, 7
5, 1000, 4
1, 1000, 0
2, 1000, 7
3, 1000, 14
4, 1000, 7
5, 1000, 4
1, 1000, 0
2, 1000, 8
3, 1000, 14
4, 1000, 7
5, 1000, 4
1, 1000, 0
2, 1000, 7
3, 1000, 15
4, 1000, 7
5, 1000, 3
1, 2000, 0
2, 2000, 30
3, 2000, 63
4, 2000, 32
5, 2000, 17
1, 2000, 0
2, 2000, 30
3, 2000, 65
4, 2000, 33
5, 2000, 17
1, 2000, 0
2, 2000, 29
3, 2000, 62
4, 2000, 32
5, 2000, 17
1, 2000, 0
2, 2000, 29
3, 2000, 64
4, 2000, 31
5, 2000, 17
1, 2000, 0
2, 2000, 29
3, 2000, 62
4, 2000, 31
5, 2000, 17
1, 4000, 0
2, 4000, 128
3, 4000, 339
4, 4000, 160
5, 4000, 86
1, 4000, 1
2, 4000, 130
3, 4000, 342
4, 4000, 160
5, 4000, 85
1, 4000, 0
2, 4000, 128
3, 4000, 341
4, 4000, 162
5, 4000, 85
1, 4000, 0
2, 4000, 135
3, 4000, 345
4, 4000, 161
5, 4000, 86
1, 4000, 0
2, 4000, 130
3, 4000, 344
4, 4000, 160
5, 4000, 85
1, 6000, 1
2, 6000, 291
3, 6000, 797
4, 6000, 408
5, 6000, 210
1, 6000, 0
2, 6000, 292
3, 6000, 797
4, 6000, 406
5, 6000, 212
1, 6000, 1
2, 6000, 291
3, 6000, 803
4, 6000, 406
5, 6000, 212
1, 6000, 1
2, 6000, 288
3, 6000, 790
4, 6000, 404
5, 6000, 210
1, 6000, 0
2, 6000, 290
3, 6000, 792
4, 6000, 403
5, 6000, 211
1, 8000, 1
2, 8000, 513
3, 8000, 1432
4, 8000, 753
5, 8000, 394
1, 8000, 1
2, 8000, 543
3, 8000, 1430
4, 8000, 754
5, 8000, 396
1, 8000, 1
2, 8000, 516
3, 8000, 1463
4, 8000, 772
5, 8000, 401
1, 8000, 1
2, 8000, 518
3, 8000, 1460
4, 8000, 775
5, 8000, 401
1, 8000, 1
2, 8000, 516
3, 8000, 1470
4, 8000, 773
5, 8000, 399
1, 10000, 1
2, 10000, 803
3, 10000, 2378
4, 10000, 1260
5, 10000, 655
1, 10000, 1
2, 10000, 811
3, 10000, 2359
4, 10000, 1260
5, 10000, 664
1, 10000, 1
2, 10000, 810
3, 10000, 2356
4, 10000, 1264
5, 10000, 663
1, 10000, 1
2, 10000, 813
3, 10000, 2338
4, 10000, 1255
5, 10000, 670
1, 10000, 2
2, 10000, 816
3, 10000, 2341
4, 10000, 1254
5, 10000, 665
1, 12000, 1
2, 12000, 1175
3, 12000, 3738
4, 12000, 1909
5, 12000, 991
1, 12000, 1
2, 12000, 1162
3, 12000, 3578
4, 12000, 1954
5, 12000, 991
1, 12000, 2
2, 12000, 1161
3, 12000, 3689
4, 12000, 1956
5, 12000, 1007
1, 12000, 1
2, 12000, 1162
3, 12000, 3466
4, 12000, 1887
5, 12000, 990
1, 12000, 2
2, 12000, 1163
3, 12000, 3468
4, 12000, 1830
5, 12000, 975
1, 14000, 2
2, 14000, 1593
3, 14000, 4939
4, 14000, 2584
5, 14000, 1332
1, 14000, 1
2, 14000, 1581
3, 14000, 4877
4, 14000, 2462
5, 14000, 1310
1, 14000, 1
2, 14000, 1584
3, 14000, 4906
4, 14000, 2504
5, 14000, 1310
1, 14000, 2
2, 14000, 1586
3, 14000, 4806
4, 14000, 2490
5, 14000, 1311
1, 14000, 2
2, 14000, 1587
3, 14000, 4810
4, 14000, 2488
5, 14000, 1340
1, 16000, 2
2, 16000, 2082
3, 16000, 6606
4, 16000, 3359
5, 16000, 1767
1, 16000, 2
2, 16000, 2087
3, 16000, 6693
4, 16000, 3423
5, 16000, 1806
1, 16000, 2
2, 16000, 2086
3, 16000, 6545
4, 16000, 3371
5, 16000, 1787
1, 16000, 2
2, 16000, 2114
3, 16000, 6772
4, 16000, 3461
5, 16000, 1820
1, 16000, 2
2, 16000, 2105
3, 16000, 6763
4, 16000, 3464
5, 16000, 1825
1, 18000, 2
2, 18000, 2754
3, 18000, 8931
4, 18000, 4591
5, 18000, 2362
1, 18000, 2
2, 18000, 2778
3, 18000, 9295
4, 18000, 4765
5, 18000, 2391
1, 18000, 2
2, 18000, 2690
3, 18000, 8696
4, 18000, 4492
5, 18000, 2328
1, 18000, 2
2, 18000, 2722
3, 18000, 8670
4, 18000, 4464
5, 18000, 2301
1, 18000, 2
2, 18000, 2783
3, 18000, 8828
4, 18000, 4488
5, 18000, 2331
1, 20000, 2
2, 20000, 3383
3, 20000, 11065
4, 20000, 5747
5, 20000, 2993
1, 20000, 2
2, 20000, 3552
3, 20000, 11847
4, 20000, 6191
5, 20000, 3211
1, 20000, 3
2, 20000, 3521
3, 20000, 11882
4, 20000, 6236
5, 20000, 3196
1, 20000, 3
2, 20000, 3437
3, 20000, 11781
4, 20000, 5855
5, 20000, 2984
1, 20000, 3
2, 20000, 3547
3, 20000, 11921
4, 20000, 6050
5, 20000, 3042
