1, 1000, 11
2, 1000, 3
3, 1000, 13
4, 1000, 6
5, 1000, 6
1, 1000, 10
2, 1000, 4
3, 1000, 13
4, 1000, 7
5, 1000, 6
1, 1000, 9
2, 1000, 3
3, 1000, 12
4, 1000, 7
5, 1000, 6
1, 2000, 27
2, 2000, 12
3, 2000, 52
4, 2000, 24
5, 2000, 25
1, 2000, 27
2, 2000, 13
3, 2000, 50
4, 2000, 25
5, 2000, 25
1, 2000, 25
2, 2000, 12
3, 2000, 51
4, 2000, 25
5, 2000, 25
1, 4000, 101
2, 4000, 50
3, 4000, 200
4, 4000, 103
5, 4000, 100
1, 4000, 106
2, 4000, 50
3, 4000, 201
4, 4000, 102
5, 4000, 100
1, 4000, 101
2, 4000, 50
3, 4000, 202
4, 4000, 102
5, 4000, 102
1, 6000, 227
2, 6000, 119
3, 6000, 453
4, 6000, 225
5, 6000, 227
1, 6000, 223
2, 6000, 117
3, 6000, 450
4, 6000, 224
5, 6000, 225
1, 6000, 226
2, 6000, 118
3, 6000, 452
4, 6000, 225
5, 6000, 225
1, 8000, 398
2, 8000, 211
3, 8000, 800
4, 8000, 403
5, 8000, 402
1, 8000, 400
2, 8000, 212
3, 8000, 801
4, 8000, 404
5, 8000, 401
1, 8000, 398
2, 8000, 211
3, 8000, 801
4, 8000, 403
5, 8000, 400
1, 10000, 622
2, 10000, 333
3, 10000, 1251
4, 10000, 631
5, 10000, 629
1, 10000, 620
2, 10000, 334
3, 10000, 1250
4, 10000, 630
5, 10000, 626
1, 10000, 622
2, 10000, 334
3, 10000, 1253
4, 10000, 633
5, 10000, 627
1, 12000, 890
2, 12000, 486
3, 12000, 1800
4, 12000, 900
5, 12000, 899
1, 12000, 892
2, 12000, 484
3, 12000, 1806
4, 12000, 902
5, 12000, 903
1, 12000, 892
2, 12000, 484
3, 12000, 1804
4, 12000, 901
5, 12000, 903
1, 14000, 1216
2, 14000, 667
3, 14000, 2453
4, 14000, 1233
5, 14000, 1226
1, 14000, 1214
2, 14000, 661
3, 14000, 2449
4, 14000, 1230
5, 14000, 1229
1, 14000, 1212
2, 14000, 665
3, 14000, 2450
4, 14000, 1228
5, 14000, 1223
1, 16000, 1587
2, 16000, 872
3, 16000, 3225
4, 16000, 1611
5, 16000, 1602
1, 16000, 1584
2, 16000, 875
3, 16000, 3222
4, 16000, 1602
5, 16000, 1603
1, 16000, 1587
2, 16000, 878
3, 16000, 3223
4, 16000, 1606
5, 16000, 1605
1, 18000, 2003
2, 18000, 1115
3, 18000, 4097
4, 18000, 2027
5, 18000, 2034
1, 18000, 2557
2, 18000, 1119
3, 18000, 4095
4, 18000, 2021
5, 18000, 2029
1, 18000, 2007
2, 18000, 1113
3, 18000, 4093
4, 18000, 2029
5, 18000, 2025
1, 20000, 2472
2, 20000, 1372
3, 20000, 5028
4, 20000, 2506
5, 20000, 2505
1, 20000, 3154
2, 20000, 1378
3, 20000, 5805
4, 20000, 2511
5, 20000, 2506
1, 20000, 2476
2, 20000, 1382
3, 20000, 5022
4, 20000, 2509
5, 20000, 2503
